id;дата;время;рейтинг;текст;автор;is_verified;is_hidden;hiding_type;likes_count;comments_count;official_answer;фото_count;provider;url
236232489;2026-04-15;23:57:46;1;Долго обслуживают;Тимур Искаков;False;False;unrated;0;0;;0;2gis;
236213888;2026-04-15;22:18:37;1;Добрый день, приобрела билет в вашем приложении 9 апреля Алматы-Сеул и обратно. И до вчера билет оформлялся. Вчера обновили настройки, билет теперь недоступен. Кормят заатраками, билет не дают, деньги не возвращают. Написала на офиц сайт, опять туда же отправляют. Вы как работаете? Приложение недоделаенное. Каждый день пишу, и внятного ответа нет. Честно, уже попахивает мошейничеством.;Наталья Ким;False;False;;0;1;{'date_created': '2026-04-16T04:31:57.607004+07:00', 'id': '64498039', 'logo_preview_urls': {}, 'org_name': 'Freedom Bank, офис', 'text': 'Доброй ночи! \nНам искренне жаль, что у вас возникла такая ситуация. Пожалуйста, напишите нам в Instagram Direct @bankffin.kz - мы проверим ваш случай и передадим его на детальный разбор коллегам. \nПостараемся как можно быстрее разобраться и помочь вам 💚'};2;2gis;
236158164;2026-04-15;18:07:18;1;"Очень медленно работают 
Грубят 
Нет места для парковки";Мурат Хайдаров;False;False;;0;1;{'date_created': '2026-04-16T04:29:03.021833+07:00', 'id': '64498033', 'logo_preview_urls': {}, 'org_name': 'Freedom Bank, офис', 'text': 'Доброй ночи! \nСожалеем, что у вас возникла такая ситуация.\nПожалуйста, напишите нам в Instagram Direct @bankffin.kz - мы хотели бы детальнее разобраться в вашей ситуации. Ваша обратная связь помогает нам становиться лучше 💚'};0;2gis;
235842509;2026-04-13;21:00:52;1;"Просидел в очереди два часа при минимальном количестве клиентов в зале. 
И как гражданин другого государства, но долгое время проживающий на территории Казахстана не доволен условиями открытия карты в Вашем банке. Хотел перейти на пользование услугами Freedom Bank, но понял что нет смысла. Увы и жаль. Надеюсь, что когда нибудь Вы пересмотрите свои условия";Grishkofan;False;False;unrated;0;0;;0;2gis;
235363932;2026-04-11;14:42:17;1;"Добрый день! Сразу по сервису: 
- в комнатке с картоматом не ловит связь Beeline, а Tele2 ловит еле еле. Чтобы активировать гостевой Wi-Fi, нужно ввести номер телефона и код из смс. Чтобы распечатать карту нужен либо интернет либо связь. В общем со стороны физических упражнений это плюс - ходить на улицу и обратно, но к банковским услугам это вообще не относится никак. Надеюсь что больше не понадобится сюда приходить и где-нибудь поблизости откроется удобный филиал с сотовой связью внутри банка.";Alexandr Turdiyev;False;False;;0;1;{'date_created': '2026-04-13T07:46:03.203688+07:00', 'id': '64325120', 'logo_preview_urls': {}, 'org_name': 'Freedom Bank, офис', 'text': 'Доброй ночи! Мы учли ваши предложения, спасибо за обратную связь. 💚'};0;2gis;
235292940;2026-04-11;01:49:08;5;Сасибо менеджеру, очень вежливая, все отчетливо обяснила;Алия м;False;False;;0;1;{'date_created': '2026-04-12T07:07:20.700204+07:00', 'id': '64291125', 'logo_preview_urls': {}, 'org_name': 'Freedom Bank, офис', 'text': 'Доброе утро! Нам приятно получать ваш отзыв. 💚'};0;2gis;
235276955;2026-04-11;00:03:27;5;❤;Drg Drg;False;False;;0;1;{'date_created': '2026-04-12T07:04:36.235556+07:00', 'id': '64291114', 'logo_preview_urls': {}, 'org_name': 'Freedom Bank, офис', 'text': '☺️💚'};0;2gis;
235042874;2026-04-09;22:03:30;5;Сотрудники профессионалы. Мне помогли быстро разобраться с моим вопросом. Очень приятно, когда встречаются такие сотрудники.;Фатих Мустимов;False;False;;0;1;{'date_created': '2026-04-09T23:37:33.96685+07:00', 'id': '64198439', 'logo_preview_urls': {}, 'org_name': 'Freedom Bank, офис', 'text': 'Добрый вечер! Спасибо за отзыв! Рады, что вам помогли быстро разобраться в вопросе 💚'};0;2gis;
234876639;2026-04-09;02:28:02;5;Очень быстрое обслуживание, спасибо за информацию и помощь;Гульмира Темирбулатова;False;False;;0;1;{'date_created': '2026-04-09T10:00:26.340011+07:00', 'id': '64141553', 'logo_preview_urls': {}, 'org_name': 'Freedom Bank, офис', 'text': 'Доброе утро! Рады, что смогли вам помочь. 💚'};0;2gis;
234782587;2026-04-08;17:58:35;5;Сегодня нас обслуживание супервайзер Ильяс!Мы остались довольны и признательны за его профессионализм и терпение! Благорим за помощь!;Вася Вася;False;False;;1;1;{'date_created': '2026-04-09T09:59:33.184912+07:00', 'id': '64141534', 'logo_preview_urls': {}, 'org_name': 'Freedom Bank, офис', 'text': 'Доброе утро! Спасибо, что остаетесь с нами. 💚'};0;2gis;
